allStations	lanes4Bus	pCongFixed	Result
3	0	0.5	[(52.166666666666664, 110.0006), (73.58333333333333, 60.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (150.16666666666666, 13.000499999999999), (120.16666666666666, 21.0005), (102.16666666666666, 30.0005), (94.66666666666666, 35.0006), (76.75, 55.0005)]
3	0	0.6	[(92.5, 55.0005), (118.29166666666666, 35.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (165.16666666666669, 13.000499999999999), (142.66666666666666, 21.0005), (88.58333333333333, 60.0005), (55.166666666666664, 110.0006), (133.29166666666666, 26.0006)]
3	0	0.7	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (118.75, 55.0005), (123.75, 51.0005), (60.16666666666666, 110.0006), (187.75, 10.000599999999999)]
3	0	0.8	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (70.16666666666666, 110.0006)]
3	0	0.9	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (100.16666666666666, 110.0006)]
3	0	1	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
3	1	0	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (51.16666666666667, 30.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (47.41666666666667, 35.0006), (45.25000000000001, 40.0005), (42.083333333333336, 50.0005), (39.083333333333336, 60.000600000000006)]
3	1	0.1	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (51.833333333333336, 30.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 35.0006), (47.0, 40.0006), (45.166666666666664, 50.000600000000006), (43.416666666666664, 60.000600000000006)]
3	1	0.2	[(48.91666666666667, 35.0006), (52.66666666666667, 30.0005), (47.41666666666667, 80.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (120.16666666666667, 13.000499999999999), (75.16666666666667, 21.0005)]
3	1	0.3	[(49.98809523809524, 35.0006), (53.73809523809524, 30.0005), (48.738095238095234, 110.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (120.16666666666667, 13.000499999999999), (75.16666666666667, 21.0005)]
3	1	0.4	[(51.41666666666667, 35.0006), (55.16666666666667, 30.0005), (50.166666666666664, 110.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (120.16666666666667, 13.000499999999999), (75.16666666666667, 21.0005)]
