allStations	lanes4Bus	pCongFixed	Result
2	1	0.1	[(70.16666666666666, 20.0001), (116.83333333333333, 10.0003), (47.666666666666664, 35.0), (44.333333333333336, 40.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
2	1	0.2	[(75.16666666666667, 20.0001), (120.16666666666667, 10.0003), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (52.66666666666667, 35.0), (48.91666666666667, 40.0), (47.666666666666664, 65.0), (47.41666666666667, 80.0)]
2	1	0.3	[(81.59523809523809, 20.0001), (124.45238095238095, 10.0003), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (59.095238095238095, 35.0), (54.80952380952381, 40.0), (47.666666666666664, 65.0), (47.41666666666667, 80.0)]
2	1	0.4	[(90.16666666666666, 20.0001), (130.16666666666666, 10.0003), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (67.66666666666666, 35.0), (62.66666666666667, 40.0), (47.666666666666664, 65.0), (47.41666666666667, 80.0)]
2	1	0.5	[(102.16666666666666, 20.0001), (138.16666666666666, 10.0003), (47.41666666666667, 80.0), (47.666666666666664, 65.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (79.66666666666666, 35.0), (73.66666666666666, 40.0)]
2	1	0.6	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (47.666666666666664, 65.0), (120.16666666666666, 20.0001), (47.41666666666667, 80.0), (150.16666666666666, 10.0003)]
2	1	0.7	[(47.41666666666667, 80.0), (47.666666666666664, 65.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (180.25, 5.0005), (120.16666666666667, 30.0003)]
2	1	0.8	[(47.41666666666667, 80.0), (47.666666666666664, 65.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (120.16666666666667, 30.0003)]
2	1	0.9	[(47.41666666666667, 80.0), (47.666666666666664, 65.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (120.16666666666667, 30.0003)]
2	1	1	[(47.41666666666667, 80.0), (47.666666666666664, 65.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (120.16666666666667, 30.0003)]
3	0	0	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (114.16666666666667, 10.0003), (42.08333333333333, 25.0), (39.08333333333332, 30.0)]
3	0	0.1	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (116.83333333333333, 10.0003), (46.74999999999999, 25.0), (43.416666666666664, 30.0)]
3	0	0.2	[(52.583333333333336, 25.0), (120.16666666666667, 10.0003), (48.833333333333336, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (48.083333333333336, 35.0), (47.41666666666667, 40.0)]
3	0	0.3	[(60.08333333333333, 25.0), (124.45238095238095, 10.0003), (55.797619047619044, 30.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (48.738095238095234, 55.0), (52.238095238095234, 40.0), (53.97619047619047, 35.0)]
3	0	0.4	[(70.08333333333333, 25.0), (130.16666666666666, 10.0003), (63.583333333333336, 30.0), (50.166666666666664, 55.0), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
