disabledNode	disabledLink	pCongFixed	Result
6	24	0.6	48.6666666667
6	24	0.9	66.1666666667
6	25	0	35.0833333333
6	25	0.3	49.1071428571
6	25	0.6	81.25
6	25	0.9	186.25
7	1	0	32.5833333333
7	1	0.3	43.3095238095
7	1	0.6	48.6666666667
7	1	0.9	66.1666666667
7	2	0	32.5833333333
7	2	0.3	43.3095238095
7	2	0.6	48.6666666667
7	2	0.9	66.1666666667
7	3	0	32.5833333333
7	3	0.3	45.4523809524
7	3	0.6	73.6666666667
7	3	0.9	126.166666667
7	4	0	32.5833333333
7	4	0.3	43.3095238095
7	4	0.6	48.6666666667
7	4	0.9	66.1666666667
7	5	0	32.5833333333
7	5	0.3	43.3095238095
7	5	0.6	48.6666666667
7	5	0.9	66.1666666667
7	6	0	32.5833333333
7	6	0.3	43.3095238095
7	6	0.6	48.6666666667
7	6	0.9	66.1666666667
7	7	0	32.5833333333
7	7	0.3	43.3095238095
7	7	0.6	48.6666666667
7	7	0.9	66.1666666667
7	8	0	32.5833333333
7	8	0.3	43.3095238095
7	8	0.6	48.6666666667
7	8	0.9	66.1666666667
7	9	0	32.5833333333
7	9	0.3	45.4523809524
7	9	0.6	74.9166666667
7	9	0.9	150.166666667
7	10	0	32.5833333333
7	10	0.3	43.3095238095
7	10	0.6	48.6666666667
7	10	0.9	66.1666666667
7	11	0	32.5833333333
7	11	0.3	43.3095238095
7	11	0.6	48.6666666667
7	11	0.9	66.1666666667
7	12	0	32.5833333333
7	12	0.3	43.3095238095
7	12	0.6	48.6666666667
7	12	0.9	66.1666666667
7	13	0	32.5833333333
7	13	0.3	43.3095238095
7	13	0.6	48.6666666667
7	13	0.9	66.1666666667
7	14	0	32.5833333333
7	14	0.3	44.4761904762
7	14	0.6	68.5833333333
7	14	0.9	147.333333333
7	15	0	32.5833333333
7	15	0.3	43.3095238095
7	15	0.6	48.6666666667
7	15	0.9	66.1666666667
7	16	0	35.0833333333
7	16	0.3	43.3095238095
7	16	0.6	48.6666666667
7	16	0.9	66.1666666667
7	17	0	32.5833333333
7	17	0.3	43.3095238095
7	17	0.6	48.6666666667
7	17	0.9	66.1666666667
7	18	0	32.5833333333
7	18	0.3	43.3095238095
7	18	0.6	48.6666666667
7	18	0.9	66.1666666667
7	19	0	32.5833333333
7	19	0.3	43.3095238095
7	19	0.6	48.6666666667
7	19	0.9	66.1666666667
7	20	0	32.5833333333
7	20	0.3	44.4761904762
7	20	0.6	68.3333333333
7	20	0.9	138.333333333
7	21	0	32.5833333333
7	21	0.3	43.3095238095
7	21	0.6	48.6666666667
7	21	0.9	66.1666666667
7	22	0	35.0833333333
7	22	0.3	43.3095238095
7	22	0.6	48.6666666667
7	22	0.9	66.1666666667
7	23	0	32.5833333333
7	23	0.3	43.3095238095
7	23	0.6	48.6666666667
7	23	0.9	66.1666666667
7	24	0	32.5833333333
7	24	0.3	43.3095238095
7	24	0.6	48.6666666667
7	24	0.9	66.1666666667
7	25	0	35.0833333333
7	25	0.3	49.1071428571
7	25	0.6	81.25
7	25	0.9	186.25
8	1	0	32.5833333333
8	1	0.3	45.4523809524
8	1	0.6	74.75
8	1	0.9	162.25
8	2	0	32.5833333333
8	2	0.3	45.4523809524
8	2	0.6	74.75
8	2	0.9	162.25
8	3	0	32.5833333333
8	3	0.3	45.4523809524
8	3	0.6	74.9166666667
8	3	0.9	171.166666667
8	4	0	32.5833333333
8	4	0.3	45.4523809524
8	4	0.6	74.75
8	4	0.9	162.25
8	5	0	32.5833333333
8	5	0.3	45.4523809524
8	5	0.6	74.75
8	5	0.9	162.25
8	6	0	32.5833333333
8	6	0.3	45.4523809524
8	6	0.6	74.75
8	6	0.9	162.25
8	7	0	32.5833333333
8	7	0.3	45.4523809524
8	7	0.6	74.75
8	7	0.9	162.25
8	8	0	32.5833333333
8	8	0.3	45.4523809524
8	8	0.6	74.9166666667
8	8	0.9	171.166666667
8	9	0	32.5833333333
8	9	0.3	45.4523809524
8	9	0.6	74.75
8	9	0.9	162.25
8	10	0	35.0833333333
8	10	0.3	47.9642857143
8	10	0.6	74.75
8	10	0.9	162.25
8	11	0	32.5833333333
8	11	0.3	45.4523809524
8	11	0.6	74.9166666667
8	11	0.9	171.166666667
8	12	0	32.5833333333
8	12	0.3	45.4523809524
8	12	0.6	74.75
8	12	0.9	162.25
8	13	0	32.5833333333
8	13	0.3	45.4523809524
8	13	0.6	74.75
8	13	0.9	162.25
8	14	0	32.5833333333
8	14	0.3	45.4523809524
8	14	0.6	74.75
8	14	0.9	162.25
8	15	0	32.5833333333
8	15	0.3	45.4523809524
8	15	0.6	74.75
8	15	0.9	162.25
8	16	0	35.0833333333
8	16	0.3	47.9642857143
8	16	0.6	74.75
8	16	0.9	162.25
8	17	0	32.5833333333
8	17	0.3	45.4523809524
8	17	0.6	74.75
8	17	0.9	162.25
8	18	0	32.5833333333
8	18	0.3	45.4523809524
8	18	0.6	74.9166666667
8	18	0.9	171.166666667
8	19	0	32.5833333333
8	19	0.3	45.4523809524
8	19	0.6	74.75
8	19	0.9	162.25
8	20	0	32.5833333333
8	20	0.3	45.4523809524
8	20	0.6	74.75
8	20	0.9	162.25
8	21	0	32.5833333333
8	21	0.3	45.4523809524
8	21	0.6	74.75
8	21	0.9	162.25
8	22	0	35.0833333333
8	22	0.3	47.9642857143
8	22	0.6	74.75
8	22	0.9	162.25
8	23	0	32.5833333333
8	23	0.3	45.4523809524
8	23	0.6	74.75
8	23	0.9	162.25
8	24	0	32.5833333333
8	24	0.3	45.4523809524
8	24	0.6	74.75
8	24	0.9	162.25
8	25	0	35.0833333333
8	25	0.3	47.9642857143
8	25	0.6	74.75
8	25	0.9	162.25
9	1	0	35.0833333333
9	1	0.3	43.3095238095
9	1	0.6	48.6666666667
9	1	0.9	66.1666666667
9	2	0	35.0833333333
9	2	0.3	43.3095238095
9	2	0.6	48.6666666667
9	2	0.9	66.1666666667
9	3	0	35.0833333333
9	3	0.3	50.0833333333
9	3	0.6	73.6666666667
9	3	0.9	126.166666667
9	4	0	35.0833333333
9	4	0.3	43.3095238095
9	4	0.6	48.6666666667
9	4	0.9	66.1666666667
9	5	0	35.0833333333
9	5	0.3	43.3095238095
9	5	0.6	48.6666666667
9	5	0.9	66.1666666667
9	6	0	35.0833333333
9	6	0.3	43.3095238095
9	6	0.6	48.6666666667
9	6	0.9	66.1666666667
9	7	0	35.0833333333
9	7	0.3	43.3095238095
9	7	0.6	48.6666666667
9	7	0.9	66.1666666667
9	8	0	35.0833333333
9	8	0.3	43.3095238095
9	8	0.6	48.6666666667
9	8	0.9	66.1666666667
