incidentNode	incidentType	lanes4Bus	pCongFixed	Result
5	1	1	0.9	71.4166666667
5	1	1	1	71.4166666667
5	2	0	0	63.1666666667
5	2	0	0.1	67.1363636364
5	2	0	0.2	72.2061403509
5	2	0	0.3	78.9166666667
5	2	0	0.4	88.2435897436
5	2	0	0.5	102.166666667
5	2	0	0.6	120.166666667
5	2	0	0.7	150.166666667
5	2	0	0.8	195.083333333
5	2	0	0.9	195.083333333
5	2	0	1	195.083333333
5	2	1	0	63.1666666667
5	2	1	0.1	67.1363636364
5	2	1	0.2	71.4166666667
5	2	1	0.3	71.4166666667
5	2	1	0.4	71.4166666667
5	2	1	0.5	71.4166666667
5	2	1	0.6	71.4166666667
5	2	1	0.7	71.4166666667
5	2	1	0.8	71.4166666667
5	2	1	0.9	71.4166666667
5	2	1	1	71.4166666667
5	3	0	0	63.1666666667
5	3	0	0.1	67.6176470588
5	3	0	0.2	73.5595238095
5	3	0	0.3	81.5952380952
5	3	0	0.4	90.1666666667
5	3	0	0.5	102.166666667
5	3	0	0.6	120.166666667
5	3	0	0.7	150.166666667
5	3	0	0.8	195.083333333
5	3	0	0.9	195.083333333
5	3	0	1	195.083333333
5	3	1	0	63.1666666667
5	3	1	0.1	67.6176470588
5	3	1	0.2	71.4166666667
5	3	1	0.3	71.4166666667
5	3	1	0.4	71.4166666667
5	3	1	0.5	71.4166666667
5	3	1	0.6	71.4166666667
5	3	1	0.7	71.4166666667
5	3	1	0.8	71.4166666667
5	3	1	0.9	71.4166666667
5	3	1	1	71.4166666667
5	4	0	0	63.1666666667
5	4	0	0.1	68.1341463415
5	4	0	0.2	75.1666666667
5	4	0	0.3	81.5952380952
5	4	0	0.4	90.1666666667
5	4	0	0.5	102.166666667
5	4	0	0.6	120.166666667
5	4	0	0.7	150.166666667
5	4	0	0.8	195.083333333
5	4	0	0.9	195.083333333
5	4	0	1	195.083333333
5	4	1	0	63.1666666667
5	4	1	0.1	68.1341463415
5	4	1	0.2	71.4166666667
5	4	1	0.3	71.4166666667
5	4	1	0.4	71.4166666667
5	4	1	0.5	71.4166666667
5	4	1	0.6	71.4166666667
5	4	1	0.7	71.4166666667
5	4	1	0.8	71.4166666667
5	4	1	0.9	71.4166666667
5	4	1	1	71.4166666667
5	5	0	0	63.1666666667
5	5	0	0.1	70.1666666667
5	5	0	0.2	75.1666666667
5	5	0	0.3	81.5952380952
5	5	0	0.4	90.1666666667
5	5	0	0.5	102.166666667
5	5	0	0.6	120.166666667
5	5	0	0.7	150.166666667
5	5	0	0.8	195.083333333
5	5	0	0.9	195.083333333
5	5	0	1	195.083333333
5	5	1	0	63.1666666667
5	5	1	0.1	68.5833333333
5	5	1	0.2	71.4166666667
5	5	1	0.3	71.4166666667
5	5	1	0.4	71.4166666667
5	5	1	0.5	71.4166666667
5	5	1	0.6	71.4166666667
5	5	1	0.7	71.4166666667
5	5	1	0.8	71.4166666667
5	5	1	0.9	71.4166666667
5	5	1	1	71.4166666667
6	1	0	0	63.1666666667
6	1	0	0.1	66.8333333333
6	1	0	0.2	71.4166666667
6	1	0	0.3	77.3095238095
6	1	0	0.4	85.1666666667
6	1	0	0.5	96.1666666667
6	1	0	0.6	112.666666667
6	1	0	0.7	140.166666667
6	1	0	0.8	195.083333333
6	1	0	0.9	195.083333333
6	1	0	1	195.083333333
6	1	1	0	63.1666666667
6	1	1	0.1	66.8333333333
6	1	1	0.2	71.4166666667
6	1	1	0.3	71.4166666667
6	1	1	0.4	71.4166666667
6	1	1	0.5	71.4166666667
6	1	1	0.6	71.4166666667
6	1	1	0.7	71.4166666667
6	1	1	0.8	71.4166666667
6	1	1	0.9	71.4166666667
6	1	1	1	71.4166666667
6	2	0	0	63.1666666667
6	2	0	0.1	66.8333333333
6	2	0	0.2	71.4166666667
6	2	0	0.3	77.3095238095
6	2	0	0.4	85.1666666667
6	2	0	0.5	96.1666666667
6	2	0	0.6	112.666666667
6	2	0	0.7	140.166666667
6	2	0	0.8	195.083333333
6	2	0	0.9	195.083333333
6	2	0	1	195.083333333
6	2	1	0	63.1666666667
6	2	1	0.1	66.8333333333
6	2	1	0.2	71.4166666667
6	2	1	0.3	71.4166666667
6	2	1	0.4	71.4166666667
6	2	1	0.5	71.4166666667
6	2	1	0.6	71.4166666667
6	2	1	0.7	71.4166666667
6	2	1	0.8	71.4166666667
6	2	1	0.9	71.4166666667
6	2	1	1	71.4166666667
6	3	0	0	63.1666666667
6	3	0	0.1	66.8333333333
6	3	0	0.2	71.4166666667
6	3	0	0.3	77.3095238095
6	3	0	0.4	85.1666666667
6	3	0	0.5	96.1666666667
6	3	0	0.6	112.666666667
6	3	0	0.7	140.166666667
6	3	0	0.8	195.083333333
6	3	0	0.9	195.083333333
6	3	0	1	195.083333333
6	3	1	0	63.1666666667
6	3	1	0.1	66.8333333333
6	3	1	0.2	71.4166666667
6	3	1	0.3	71.4166666667
6	3	1	0.4	71.4166666667
6	3	1	0.5	71.4166666667
6	3	1	0.6	71.4166666667
6	3	1	0.7	71.4166666667
6	3	1	0.8	71.4166666667
6	3	1	0.9	71.4166666667
6	3	1	1	71.4166666667
6	4	0	0	63.1666666667
6	4	0	0.1	66.8333333333
6	4	0	0.2	71.4166666667
6	4	0	0.3	77.3095238095
6	4	0	0.4	85.1666666667
6	4	0	0.5	96.1666666667
6	4	0	0.6	112.666666667
6	4	0	0.7	140.166666667
6	4	0	0.8	195.083333333
6	4	0	0.9	195.083333333
6	4	0	1	195.083333333
6	4	1	0	63.1666666667
6	4	1	0.1	66.8333333333
6	4	1	0.2	71.4166666667
6	4	1	0.3	71.4166666667
6	4	1	0.4	71.4166666667
6	4	1	0.5	71.4166666667
6	4	1	0.6	71.4166666667
6	4	1	0.7	71.4166666667
6	4	1	0.8	71.4166666667
6	4	1	0.9	71.4166666667
6	4	1	1	71.4166666667
6	5	0	0	63.1666666667
6	5	0	0.1	66.8333333333
6	5	0	0.2	71.4166666667
6	5	0	0.3	77.3095238095
6	5	0	0.4	85.1666666667
6	5	0	0.5	96.1666666667
6	5	0	0.6	112.666666667
6	5	0	0.7	140.166666667
6	5	0	0.8	195.083333333
6	5	0	0.9	195.083333333
6	5	0	1	195.083333333
6	5	1	0	63.1666666667
6	5	1	0.1	66.8333333333
6	5	1	0.2	71.4166666667
6	5	1	0.3	71.4166666667
6	5	1	0.4	71.4166666667
6	5	1	0.5	71.4166666667
6	5	1	0.6	71.4166666667
6	5	1	0.7	71.4166666667
6	5	1	0.8	71.4166666667
6	5	1	0.9	71.4166666667
6	5	1	1	71.4166666667
7	1	0	0	63.1666666667
7	1	0	0.1	66.8333333333
7	1	0	0.2	71.4166666667
7	1	0	0.3	77.3095238095
7	1	0	0.4	85.1666666667
7	1	0	0.5	96.1666666667
7	1	0	0.6	112.666666667
7	1	0	0.7	140.166666667
7	1	0	0.8	195.083333333
7	1	0	0.9	195.083333333
7	1	0	1	195.083333333
7	1	1	0	63.1666666667
7	1	1	0.1	66.8333333333
7	1	1	0.2	71.4166666667
7	1	1	0.3	71.4166666667
7	1	1	0.4	71.4166666667
7	1	1	0.5	71.4166666667
7	1	1	0.6	71.4166666667
7	1	1	0.7	71.4166666667
7	1	1	0.8	71.4166666667
7	1	1	0.9	71.4166666667
7	1	1	1	71.4166666667
7	2	0	0	63.1666666667
7	2	0	0.1	66.8333333333
7	2	0	0.2	71.4166666667
7	2	0	0.3	77.3095238095
7	2	0	0.4	85.1666666667
7	2	0	0.5	96.1666666667
7	2	0	0.6	112.666666667
7	2	0	0.7	140.166666667
7	2	0	0.8	195.083333333
7	2	0	0.9	195.083333333
7	2	0	1	195.083333333
7	2	1	0	63.1666666667
7	2	1	0.1	66.8333333333
7	2	1	0.2	71.4166666667
7	2	1	0.3	71.4166666667
7	2	1	0.4	71.4166666667
7	2	1	0.5	71.4166666667
7	2	1	0.6	71.4166666667
7	2	1	0.7	71.4166666667
7	2	1	0.8	71.4166666667
7	2	1	0.9	71.4166666667
7	2	1	1	71.4166666667
7	3	0	0	63.1666666667
7	3	0	0.1	66.8333333333
7	3	0	0.2	71.4166666667
7	3	0	0.3	77.3095238095
7	3	0	0.4	85.1666666667
7	3	0	0.5	96.1666666667
7	3	0	0.6	112.666666667
7	3	0	0.7	140.166666667
7	3	0	0.8	195.083333333
7	3	0	0.9	195.083333333
7	3	0	1	195.083333333
7	3	1	0	63.1666666667
7	3	1	0.1	66.8333333333
7	3	1	0.2	71.4166666667
7	3	1	0.3	71.4166666667
7	3	1	0.4	71.4166666667
7	3	1	0.5	71.4166666667
7	3	1	0.6	71.4166666667
7	3	1	0.7	71.4166666667
7	3	1	0.8	71.4166666667
7	3	1	0.9	71.4166666667
7	3	1	1	71.4166666667
7	4	0	0	63.1666666667
7	4	0	0.1	66.8333333333
7	4	0	0.2	71.4166666667
7	4	0	0.3	77.3095238095
7	4	0	0.4	85.1666666667
7	4	0	0.5	96.1666666667
7	4	0	0.6	112.666666667
7	4	0	0.7	140.166666667
7	4	0	0.8	195.083333333
7	4	0	0.9	195.083333333
7	4	0	1	195.083333333
7	4	1	0	63.1666666667
7	4	1	0.1	66.8333333333
7	4	1	0.2	71.4166666667
7	4	1	0.3	71.4166666667
7	4	1	0.4	71.4166666667
7	4	1	0.5	71.4166666667
7	4	1	0.6	71.4166666667
7	4	1	0.7	71.4166666667
7	4	1	0.8	71.4166666667
7	4	1	0.9	71.4166666667
7	4	1	1	71.4166666667
7	5	0	0	63.1666666667
7	5	0	0.1	66.8333333333
7	5	0	0.2	71.4166666667
7	5	0	0.3	77.3095238095
7	5	0	0.4	85.1666666667
7	5	0	0.5	96.1666666667
7	5	0	0.6	112.666666667
7	5	0	0.7	140.166666667
7	5	0	0.8	195.083333333
7	5	0	0.9	195.083333333
7	5	0	1	195.083333333
7	5	1	0	63.1666666667
7	5	1	0.1	66.8333333333
7	5	1	0.2	71.4166666667
7	5	1	0.3	71.4166666667
7	5	1	0.4	71.4166666667
7	5	1	0.5	71.4166666667
7	5	1	0.6	71.4166666667
7	5	1	0.7	71.4166666667
7	5	1	0.8	71.4166666667
